"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id.9","label.8","id.10","label.9","id","label"
"TL","Territory Level and Typology","1","Country","AUS","Australia","SURF","Regional surface","T","Total","ALL","All regions","1990","1990","B","Break","1","RATIOS","0","Units","2013_100","2013=100","P1Y","Annual"
"REG_ID","Region","1_PU","  Country - predominantly urban regions","AU1","New South Wales","AREA_DEN","Regional Area and Population Density","F","Females","","","1991","1991","C","Non-publishable and confidential value","GRWH","Growth rate","1","Tens","2012_100","2012=100","P1M","Monthly"
"VAR","Indicator","1_IN","  Country - intermediate regions","AU101","Capital Region","POP_DEN","Population density (pop. per km2)","M","Males","","","1992","1992","D","Difference in methodology","AVGRW","Average growth rate","2","Hundreds","2011_100","2011=100","P3M","Quarterly"
"SEX","Gender","1_PR","  Country - rural regions","AU103","Central West","POP_DEN_GR","Population density growth index (2001=100)","","","","","1993","1993","E","Estimated value","IDX","Index","3","Thousands","2010_100","2010=100","P6M","Half-yearly"
"POS","Position","2","Large regions (TL2)","AU104","Coffs Harbour - Grafton","YOU_DEP_RA","Dependency Ratio, Youth (% -15 over population 15-64)","","","","","1994","1994","F","Forecast value","P50P10","Interdecile ratio P50/P10","4","Tens of thousands","2009_100","2009=100","P1D","Daily"
"TIME","Year","3_PU","  Small regions (TL3) - predominantly urban","AU105","Far West and Orana","DEMO_COMP","Demographic Composition and Evolution","","","","","1995","1995","H","Missing value, holiday or weekend","P90P10","Interdecile ratio P90/P10","5","Hundreds of thousands","2008_100","2008=100","",""
"OBS_VALUE","Observation Value","3","Small regions (TL3)","AU106","Hunter Valley Exc Newcastle","DEMO_IND","Regional Demographic Indicators","","","","","1996","1996","I","Incomplete data","P90P50","Interdecile ratio P90/P50","6","Millions","2007_100","2007=100","",""
"TIME_FORMAT","Time Format","3_IN","  Small regions (TL3) - intermediate","AU107","Illawarra","ELD_DEP_RA","Dependency Ratio, Elderly (% 65+ over population 15-64)","","","","","1997","1997","L","Missing value; data exist but were not collected","AVSCORE","Average score","7","Tens of millions","2006_100","2006=100","",""
"OBS_STATUS","Observation Status","3_PR","  Small regions (TL3) - predominantly rural","AU108","Mid North Coast","DEM_DEP_RA","Dependency Ratio, Demographic (% -15 plus 65+ over population 15-64)","","","","","1998","1998","M","Missing value; data cannot exist","NATUSD","National currency per US dollar","8","Hundreds of millions","2005_100","2005=100","",""
"UNIT","Unit","NOG","Non Official Grids","AU109","Murray","SR_TOT_RA","Sex Ratio, Total Population (% population males over females )","","","","","1999","1999","N","Non-publishable, but non-confidential value","OECDIDX","OECD=100","9","Billions","2004_100","2004=100","",""
"POWERCODE","Unit multiplier","","","AU110","New England and North West","SR_YOU_RA","Sex Ratio, Youth Population (% -15 population males over females )","","","","","2000","2000","P","Provisional value","PC","Percentage","10","Tens of billions","2003_100","2003=100","",""
"REFERENCEPERIOD","Reference period","","","AU111","Newcastle and Lake Macquarie","SR_ELD_RA","Sex Ratio, Elderly Population (% 65+ population males over females )","","","","","2001","2001","R","Confidential statistical information due to identifiable","RATIO","Ratio","11","Hundreds of billions","2002_100","2002=100","",""
"","","","","AU112","Richmond - Tweed","POP_65M_SH","Share of Elderly Population (% 65+ over total population)","","","","","2002","2002","S","Strike","TOEUSD","To be deleted-Toe per 1 000 US dollars","12","Trillions","2001_100","2001=100","",""
"","","","","AU113","Riverina","POP_80M_SH","Share of Very Elderly Population (% 80+ over total population)","","","","","2003","2003","Z","Absolute zero observation","TOE_1000USD","TOE per 1 000 US dollars","13","Tens of trillions","2000_100","2000=100","",""
"","","","","AU114","Southern Highlands and Shoalhaven","KID_WOM_RA","Child-to-Woman Ratio (% 0-4 over females 15-49)","","","","","2004","2004","","","USD_KG","US dollars per kilogram","14","Hundreds of trillions","1999_100","1999=100","",""
"","","","","AU1GS","Sydney","POP_TOT_GI","Growth/Shrinking Index of the Total Population (2001=100)","","","","","2005","2005","","","USD_L","US dollars per litre","15","Quadrillions","1998_100","1998=100","",""
"","","","","AU2","Victoria","POP_65M_GI","Growth/Shrinking Index of the 65+ Elderly Population (2001=100)","","","","","2006","2006","","","USD_CO2","US dollars per unit of CO2","-1","Tenths","1997_100","1997=100","",""
"","","","","AU201","Ballarat","DEATH_RA","Crude Death Rate (deaths for 100 000 population)","","","","","2007","2007","","","USD_BAR","US dollars per barrel","-2","Hundredths","1996_100","1996=100","",""
"","","","","AU202","Bendigo","MORT_IND","Regional Mortality and Life Expectancy","","","","","2008","2008","","","USD_HAB","To be deleted","-3","Thousandths","1995_100","1995=100","",""
"","","","","AU203","Geelong","YOU_DEATH_RA","Crude Youth Death Rate (0-14 deaths for 100 000 population of same age group)","","","","","2009","2009","","","EUIDX","European Union = 100","-4","Ten-thousandths","1994_100","1994=100","",""
"","","","","AU204","Hume","STD_MORT","Age-Adjusted Mortality Rate (deaths for 1000 population)","","","","","2010","2010","","","NATEU","National currency per Euro","-5","Hundred-thousandths","1993_100","1993=100","",""
"","","","","AU205","Latrobe - Gippsland","INF_MORT","Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","","","","","2011","2011","","","0_EXIST_1_DONTEXIST","0 = Data do not exist / 1 = Data exist","-6","Millionths","1992_100","1992=100","",""
"","","","","AU215","North West","INF_SEXDIF","Infant Mortality Rate - Gender difference (female-male)","","","","","2012","2012","","","DEATH_1000BIRTH","Deaths per 1 000 live births","-7","Ten-millionths","1991_100","1991=100","",""
"","","","","AU216","Shepparton","LIFE_EXP","Life Expectancy at Birth","","","","","2013","2013","","","EMPLOYED","Employed","-8","Hundred-millionths","2013","2013","",""
"","","","","AU217","Warrnambool and South West","LIFE_SEXDIF","Life Expectancy at Birth - Gender difference in Years (female-male)","","","","","2014","2014","","","ENTR","Enterprises","-9","Billionths","2012","2012","",""
"","","","","AU2GM","Melbourne","INMIG_ALL","New residents in the region coming from another region of the same country ","","","","","2015","2015","","","ESTB","Establishments","-10","Ten-billionths","2011","2011","",""
"","","","","AU3","Queensland","MOB","Inter-regional Mobility ","","","","","2016","2016","","","1000000HAB","Per 1 000 000 inhabitants","-11","Hundred-billionths","2010","2010","",""
"","","","","AU306","Cairns","INMIG_15_29","New residents in the region aged 15 to 29 coming from another region of the same country","","","","","2017","2017","","","VKM","Vehicle-kilometres","-12","Trillionths","2009","2009","",""
"","","","","AU307","Darling Downs - Maranoa","OUTMIG_ALL","Persons who left the region to reside in another region of the same country","","","","","","","","","FTE","Full time equivalent","-13","Ten-trillionths","2008","2008","",""
"","","","","AU308","Fitzroy","OUTMIG_15_29","Persons aged 15 to 29 who left the region to reside in another region of the same country","","","","","","","","","_1000","Per thousand","-14","Hundred-trillionths","2007","2007","",""
"","","","","AU309","Gold Coast","NETMIG_ALL","Net inter-regional migration, All Persons (inflows minus outflows)","","","","","","","","","SE","Standard-error","-15","Quadrillionths","2006","2006","",""
"","","","","AU312","Mackay","NETMIG_15_29","Net inter-regional migration, Persons aged 15 to 29(inflows minus outflows)","","","","","","","","","0_TO_1","0-1 scale","9999",".","2005","2005","",""
"","","","","AU315","Queensland - Outback","FLOWMIG_ALL_RA","Inter-regional migration rate, (% migrants over population)","","","","","","","","","2","NUMBERS","","","2004","2004","",""
"","","","","AU316","Sunshine Coast","NETMIG_ALL_RA","Inter-regional net flows migration rate, (% net flows over population)","","","","","","","","","CHLD","Children","","","2003","2003","",""
"","","","","AU317","Toowoomba","YOUNGMIG_SH","Young migrants share (migrants 15 to 29 over total migrants)","","","","","","","","","DEATH1000","To be deleted-Deaths per 1 000 live births","","","2002","2002","",""
"","","","","AU318","Townsville","T","Population, All ages","","","","","","","","","EMPLOYEE","Employee","","","2001","2001","",""
"","","","","AU319","Wide Bay","POP","Regional Population by Age (persons)","","","","","","","","","HAB","Inhabitants","","","2000","2000","",""
"","","","","AU3GB","Brisbane","Y0_14","Youth Population Group (0-14)","","","","","","","","","JOB","Jobs","","","1999","1999","",""
"","","","","AU4","South Australia","Y0_4","Population, 0-4","","","","","","","","","NBR","Number","","","1998","1998","",""
"","","","","AU405","Barossa - Yorke - Mid North","Y5_9","Population, 5-9","","","","","","","","","PKM","Passenger-kilometres","","","1997","1997","",""
"","","","","AU406","South Australia - Outback","Y10_14","Population, 10-14","","","","","","","","","1000HAB","Per 1 000 inhabitants","","","1996","1996","",""
"","","","","AU407","South Australia - South East","Y15_64","Working Age Population Group (15-64)","","","","","","","","","100000HAB","Per 100 000 inhabitants","","","1995","1995","",""
"","","","","AU4GA","Adelaide","Y15_19","Population, 15-19","","","","","","","","","100HAB","Per 100 inhabitants","","","1994","1994","",""
"","","","","AU5","Western Australia","Y20_24","Population, 20-24","","","","","","","","","PC_PNT","Percentage points","","","1993","1993","",""
"","","","","AU501","Bunbury","Y25_29","Population, 25-29","","","","","","","","","PER","Persons","","","1992","1992","",""
"","","","","AU508","Western Australia - Outback","Y30_34","Population, 30-34","","","","","","","","","3","TIME","","","1991","1991","",""
"","","","","AU509","Western Australia - Wheat Belt","Y35_39","Population, 35-39","","","","","","","","","DAY","Days","","","1990_100","1990=100","",""
"","","","","AU5GP","Perth","Y40_44","Population, 40-44","","","","","","","","","HOUR","Hours","","","2011_12","2011-12","",""
"","","","","AU6","Tasmania","Y45_49","Population, 45-49","","","","","","","","","HPYPP","Hours per year per person","","","2004_05","2004-05","",""
"","","","","AU601","Hobart","Y50_54","Population, 50-54","","","","","","","","","MONTH","Months","","","1995_96","1995-96","",""
