"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id","label"
"REG_ID","Regions","AUS","Australia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2000","2000","B","Break","1","RATIOS","0","Units","2013_100","2013=100","P1Y","Annual"
"IND","Indicator","AU1","New South Wales","HEALTH","Health","UP_CI","Upper bound of the 95% confidence interval","2009","2009","C","Non-publishable and confidential value","GRWH","Growth rate","1","Tens","2012_100","2012=100","P1M","Monthly"
"MEAS","Measure","AU2","Victoria","RWB","REGIONAL WELL-BEING","RIDD_QUAL","Quality measures (regional income distribution)","2010","2010","D","Difference in methodology","AVGRW","Average growth rate","2","Hundreds","2011_100","2011=100","P3M","Quarterly"
"TIME","Time","AU3","Queensland","AIR_POL","Air pollution, level of PM2.5","LO_CI","Lower bound of the 95% confidence interval","2011","2011","E","Estimated value","IDX","Index","3","Thousands","2010_100","2010=100","P6M","Half-yearly"
"OBS_VALUE","Observation Value","AU4","South Australia","ENVIR","Environment","","","2013","2013","F","Forecast value","P50P10","Interdecile ratio P50/P10","4","Tens of thousands","2009_100","2009=100","P1D","Daily"
"TIME_FORMAT","Time Format","AU5","Western Australia","VOTERS_SH","Voter turnout in general election","","","2014","2014","H","Missing value, holiday or weekend","P90P10","Interdecile ratio P90/P10","5","Hundreds of thousands","2008_100","2008=100","",""
"OBS_STATUS","Observation Status","AU6","Tasmania","CIVIC","Civic engagement","","","","","I","Incomplete data","P90P50","Interdecile ratio P90/P50","6","Millions","2007_100","2007=100","",""
"UNIT","Unit","AU7","Northern Territory (NT)","BB_ACC","Share of households with internet broadband access","","","","","L","Missing value; data exist but were not collected","AVSCORE","Average score","7","Tens of millions","2006_100","2006=100","",""
"POWERCODE","Unit multiplier","AU8","Australian Capital Territory (ACT)","ACCESS","Access to services","","","","","M","Missing value; data cannot exist","NATUSD","National currency per US dollar","8","Hundreds of millions","2005_100","2005=100","",""
"REFERENCEPERIOD","Reference period","AUT","Austria","GINI","Gini (at disposable income, after taxes and transfers)","","","","","N","Non-publishable, but non-confidential value","OECDIDX","OECD=100","9","Billions","2004_100","2004=100","",""
"","","AT11","Burgenland (AT)","INEQ","Inequality","","","","","P","Provisional value","PC","Percentage","10","Tens of billions","2003_100","2003=100","",""
"","","AT12","Lower Austria","RIDD","REGIONAL INCOME DISTRIBUTION","","","","","R","Confidential statistical information due to identifiable","RATIO","Ratio","11","Hundreds of billions","2002_100","2002=100","",""
"","","AT13","Vienna","GINIB","Gini before taxes and transfers","","","","","S","Strike","TOEUSD","To be deleted-Toe per 1 000 US dollars","12","Trillions","2001_100","2001=100","",""
"","","AT21","Carinthia","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","","","","","Z","Absolute zero observation","TOE_1000USD","TOE per 1 000 US dollars","13","Tens of trillions","2000_100","2000=100","",""
"","","AT22","Styria","PVT","Poverty","","","","","","","USD_KG","US dollars per kilogram","14","Hundreds of trillions","1999_100","1999=100","",""
"","","AT31","Upper Austria","PVT6B","Poverty rate before taxes and transfers, Poverty line 60%","","","","","","","USD_L","US dollars per litre","15","Quadrillions","1998_100","1998=100","",""
"","","AT32","Salzburg","PVT5A","Poverty rate after taxes and transfers, Poverty line 50%","","","","","","","USD_CO2","US dollars per unit of CO2","-1","Tenths","1997_100","1997=100","",""
"","","AT33","Tyrol","PVT5B","Poverty rate before taxes and transfers, Poverty line 50%","","","","","","","USD_BAR","US dollars per barrel","-2","Hundredths","1996_100","1996=100","",""
"","","AT34","Vorarlberg","S80S20A","S80/S20 disposable income quintile ratio ","","","","","","","USD_HAB","To be deleted","-3","Thousandths","1995_100","1995=100","",""
"","","BEL","Belgium","ROOMS_PC","Number of rooms per person","","","","","","","EUIDX","European Union = 100","-4","Ten-thousandths","1994_100","1994=100","",""
"","","BE1","Brussels Capital Region","HOUSE","Housing","","","","","","","NATEU","National currency per Euro","-5","Hundred-thousandths","1993_100","1993=100","",""
"","","BE2","Flemish Region","SUBJ_SOC_SUPP","Perceived social network support","","","","","","","0_EXIST_1_DONTEXIST","0 = Data do not exist / 1 = Data exist","-6","Millionths","1992_100","1992=100","",""
"","","BE3","Wallonia","SOCIAL","Social network support","","","","","","","DEATH_1000BIRTH","Deaths per 1 000 live births","-7","Ten-millionths","1991_100","1991=100","",""
"","","CAN","Canada","SUBJ_LIFE_SAT","Self-evaluation of life satisfaction","","","","","","","EMPLOYED","Employed","-8","Hundred-millionths","2013","2013","",""
"","","CA10","Newfoundland and Labrador","SATISF","Life satisfaction","","","","","","","ENTR","Enterprises","-9","Billionths","2012","2012","",""
"","","CA11","Prince Edward Island","INCOME_DISP","Disposable income per capita","","","","","","","ESTB","Establishments","-10","Ten-billionths","2011","2011","",""
"","","CA12","Nova Scotia","INCOME","Income","","","","","","","1000000HAB","Per 1 000 000 inhabitants","-11","Hundred-billionths","2010","2010","",""
"","","CA13","New Brunswick","EMP_RA","Employment rate","","","","","","","VKM","Vehicle-kilometres","-12","Trillionths","2009","2009","",""
"","","CA24","Quebec","JOB","Jobs","","","","","","","FTE","Full time equivalent","-13","Ten-trillionths","2008","2008","",""
"","","CA35","Ontario","UNEM_RA","Unemployment rate","","","","","","","_1000","Per thousand","-14","Hundred-trillionths","2007","2007","",""
"","","CA46","Manitoba","EDU38_SH","Share of labour force with at least secondary education","","","","","","","SE","Standard-error","-15","Quadrillionths","2006","2006","",""
"","","CA47","Saskatchewan","EDUC","Education","","","","","","","0_TO_1","0-1 scale","9999",".","2005","2005","",""
"","","CA48","Alberta","STD_MORT","Standardised mortality rate","","","","","","","2","NUMBERS","","","2004","2004","",""
"","","CA59","British Columbia","HOMIC_RA","Homicide rate","","","","","","","CHLD","Children","","","2003","2003","",""
"","","CA60","Yukon","SAFE","Safety","","","","","","","DEATH1000","To be deleted-Deaths per 1 000 live births","","","2002","2002","",""
"","","CA61","Northwest Territories","SUBJ_PERC_CORR","Perception of corrution","","","","","","","EMPLOYEE","Employee","","","2001","2001","",""
"","","CA62","Nunavut","GOV","Quality of government","","","","","","","HAB","Inhabitants","","","2000","2000","",""
"","","CHL","Chile","","","","","","","","","JOB","Jobs","","","1999","1999","",""
"","","CL01","Tarapacá","","","","","","","","","NBR","Number","","","1998","1998","",""
"","","CL02","Antofagasta","","","","","","","","","PKM","Passenger-kilometres","","","1997","1997","",""
