"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT001","Vienna","GDP","GDP (millions US$)","2000","2000","USD","US Dollar","6","Millions","2010","2010",110421.24,,
"AT001","Vienna","GDP","GDP (millions US$)","2001","2001","USD","US Dollar","6","Millions","2010","2010",111616.79,,
"AT001","Vienna","GDP","GDP (millions US$)","2002","2002","USD","US Dollar","6","Millions","2010","2010",114170.48,,
"AT001","Vienna","GDP","GDP (millions US$)","2003","2003","USD","US Dollar","6","Millions","2010","2010",113811.3,,
"AT001","Vienna","GDP","GDP (millions US$)","2004","2004","USD","US Dollar","6","Millions","2010","2010",116651.49,,
"AT001","Vienna","GDP","GDP (millions US$)","2005","2005","USD","US Dollar","6","Millions","2010","2010",118266.98,,
"AT001","Vienna","GDP","GDP (millions US$)","2006","2006","USD","US Dollar","6","Millions","2010","2010",122599.63,,
"AT001","Vienna","GDP","GDP (millions US$)","2007","2007","USD","US Dollar","6","Millions","2010","2010",125656.56,,
"AT001","Vienna","GDP","GDP (millions US$)","2008","2008","USD","US Dollar","6","Millions","2010","2010",128232.53,,
"AT001","Vienna","GDP","GDP (millions US$)","2009","2009","USD","US Dollar","6","Millions","2010","2010",124490.8,,
"AT001","Vienna","GDP","GDP (millions US$)","2010","2010","USD","US Dollar","6","Millions","2010","2010",126318.86,,
"AT001","Vienna","GDP","GDP (millions US$)","2011","2011","USD","US Dollar","6","Millions","2010","2010",129024.35,,
"AT001","Vienna","GDP","GDP (millions US$)","2012","2012","USD","US Dollar","6","Millions","2010","2010",129515.54,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2000","2000","PC","Percentage","0","Units",,,36.66,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2001","2001","PC","Percentage","0","Units",,,36.56,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2002","2002","PC","Percentage","0","Units",,,36.79,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2003","2003","PC","Percentage","0","Units",,,36.4,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2004","2004","PC","Percentage","0","Units",,,36.32,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2005","2005","PC","Percentage","0","Units",,,36.05,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2006","2006","PC","Percentage","0","Units",,,36.16,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2007","2007","PC","Percentage","0","Units",,,35.77,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2008","2008","PC","Percentage","0","Units",,,35.95,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2009","2009","PC","Percentage","0","Units",,,36.28,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2010","2010","PC","Percentage","0","Units",,,36.13,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2011","2011","PC","Percentage","0","Units",,,35.8,,
"AT001","Vienna","GDP_SHARE","GDP of the metropolitan area as a share of national value (%)","2012","2012","PC","Percentage","0","Units",,,35.63,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2000","2000","USD","US Dollar","0","Units","2010","2010",45434.48,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2001","2001","USD","US Dollar","0","Units","2010","2010",45479.15,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2002","2002","USD","US Dollar","0","Units","2010","2010",46065.5,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2003","2003","USD","US Dollar","0","Units","2010","2010",45470.92,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2004","2004","USD","US Dollar","0","Units","2010","2010",46148.38,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2005","2005","USD","US Dollar","0","Units","2010","2010",46327.07,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2006","2006","USD","US Dollar","0","Units","2010","2010",47550.9,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2007","2007","USD","US Dollar","0","Units","2010","2010",48254.48,,
"AT001","Vienna","GDP_PC","GDP per capita (US$)","2008","2008","USD","US Dollar","0","Units","2010","2010",48755.43,,
