"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT001","Vienna","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,31054,,
"AT001","Vienna","GINI_INC","Gini index","2012","2012","IDX","Index","0","Units",,,0.272,,
"AT002","Graz","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,32229,,
"AT002","Graz","GINI_INC","Gini index","2012","2012","IDX","Index","0","Units",,,0.274,,
"AT003","Linz","EQU_HOU_DISP_INC","Equivalised household disposable income","2012","2012","USD","US Dollar","0","Units",,,34048,,
"AT003","Linz","GINI_INC","Gini index","2012","2012","IDX","Index","0","Units",,,0.261,,
"BE001","Brussels","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,27533,,
"BE001","Brussels","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.374,,
"BE002","Antwerp","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26831,,
"BE002","Antwerp","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.293,,
"BE003","Ghent","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,28164,,
"BE003","Ghent","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.291,,
"BE005","Liege","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23732,,
"BE005","Liege","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.309,,
"CAN01","Edmonton","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,37509,,
"CAN01","Edmonton","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.376,,
"CAN04","Calgary","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,42253,,
"CAN04","Calgary","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.435,,
"CAN06","Winnipeg","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,28728,,
"CAN06","Winnipeg","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.351,,
"CAN09","Vancouver","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,31072,,
"CAN09","Vancouver","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.413,,
"CAN16","Quebec","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,28055,,
"CAN16","Quebec","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.287,,
"CAN20","Montreal","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26494,,
"CAN20","Montreal","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.344,,
"CAN21","Ottawa-Gatineau","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,33325,,
"CAN21","Ottawa-Gatineau","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.344,,
"CAN26","Toronto","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,31827,,
"CAN26","Toronto","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.414,,
"CAN29","Hamilton","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,29536,,
"CAN29","Hamilton","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.346,,
"CL010","Valparaíso","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,12535,,
"CL010","Valparaíso","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.455,,
"CL011","Santiago","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,15011,,
"CL011","Santiago","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.478,,
"CL020","Concepción","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,10239,,
"CL020","Concepción","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.415,,
"DK001","Copenhagen","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,27562,,
"DK001","Copenhagen","GINI_INC","Gini index","2014","2014","IDX","Index","0","Units",,,0.283,,
"EE001","Tallinn","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,19730,,
"FI001","Helsinki","EQU_HOU_DISP_INC","Equivalised household disposable income","2014","2014","USD","US Dollar","0","Units",,,28360,,
"FR001","Paris","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,33867,,
"FR001","Paris","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.379,,
"FR003","Lyon","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,29056,,
"FR003","Lyon","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.358,,
"FR004","Toulouse","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,30718,,
"FR004","Toulouse","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.355,,
"FR006","Strasbourg","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,31031,,
"FR006","Strasbourg","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.35,,
"FR007","Bordeaux","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,30475,,
