"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2000","2000","RATIO","Ratio","0","Units",,,18.12,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2001","2001","RATIO","Ratio","0","Units",,,18.1,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2002","2002","RATIO","Ratio","0","Units",,,18.08,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2003","2003","RATIO","Ratio","0","Units",,,18.06,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2004","2004","RATIO","Ratio","0","Units",,,18.04,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2005","2005","RATIO","Ratio","0","Units",,,18.02,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2006","2006","RATIO","Ratio","0","Units",,,18,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2007","2007","RATIO","Ratio","0","Units",,,17.98,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2008","2008","RATIO","Ratio","0","Units",,,17.96,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2009","2009","RATIO","Ratio","0","Units",,,17.94,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2010","2010","RATIO","Ratio","0","Units",,,17.92,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2011","2011","RATIO","Ratio","0","Units",,,17.9,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2012","2012","RATIO","Ratio","0","Units",,,17.88,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2013","2013","RATIO","Ratio","0","Units",,,17.86,,
"US147","Wichita","POP_DEP_RATIO_OLD","Old-age-dependency ratio","2014","2014","RATIO","Ratio","0","Units",,,17.84,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2000","2000","PER","Persons","0","Units",,,119505,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2001","2001","PER","Persons","0","Units",,,121899,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2002","2002","PER","Persons","0","Units",,,124338,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2003","2003","PER","Persons","0","Units",,,126825,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2004","2004","PER","Persons","0","Units",,,129359,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2005","2005","PER","Persons","0","Units",,,131943,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2006","2006","PER","Persons","0","Units",,,134575,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2007","2007","PER","Persons","0","Units",,,137259,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2008","2008","PER","Persons","0","Units",,,139994,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2009","2009","PER","Persons","0","Units",,,142781,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2010","2010","PER","Persons","0","Units",,,145622,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2011","2011","PER","Persons","0","Units",,,148517,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2012","2012","PER","Persons","0","Units",,,151468,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2013","2013","PER","Persons","0","Units",,,154475,,
"US252","Tampa","POP_65MORE","Population, Total, Old (65more)","2014","2014","PER","Persons","0","Units",,,157540,,
"US241","New Orleans","POP_DEP_RATIO_YOUNG","Youth-dependency ratio","2000","2000","RATIO","Ratio","0","Units",,,32.96,,
